name,price,new_name,First_Name,Last_Name,New_Price,above_100
Ashley Rocha,50.00303730985961,Ashley Rocha,Ashley,Rocha,50.0,
Sarah Jacobson,80.48182457363063,Sarah Jacobson,Sarah,Jacobson,80.48,
Kayla Shannon,98.91531394497848,Kayla Shannon,Kayla,Shannon,98.92,
Sean Wang DDS,220.62821774950515,Sean Wang DDS,Sean,Wang,220.63,True
Richard Estrada,49.16869151205603,Richard Estrada,Richard,Estrada,49.17,
Joseph Torres,150.12378419766594,Joseph Torres,Joseph,Torres,150.12,True
Kim Jones,18.84343770225838,Kim Jones,Kim,Jones,18.84,
Melissa Tanner,269.18402994297986,Melissa Tanner,Melissa,Tanner,269.18,True
Jackson Cline,64.31251721074351,Jackson Cline,Jackson,Cline,64.31,
Sonya Foster,296.2155012166741,Sonya Foster,Sonya,Foster,296.22,True
Allen Williams,15.390831703593,Allen Williams,Allen,Williams,15.39,
Mr. Thomas Rivera,95.22843715592121,Thomas Rivera,Thomas,Rivera,95.23,
Jamie Silva,296.82440753934657,Jamie Silva,Jamie,Silva,296.82,True
Kathleen Moore,92.50052419128963,Kathleen Moore,Kathleen,Moore,92.5,
Evelyn Pineda,169.22892925664138,Evelyn Pineda,Evelyn,Pineda,169.23,True
Kyle Peters,106.7990952132163,Kyle Peters,Kyle,Peters,106.8,True
Anthony Cruz,49.101998173197686,Anthony Cruz,Anthony,Cruz,49.1,
Eric Flores,122.95569856549317,Eric Flores,Eric,Flores,122.96,True
Anna Richardson,254.49526058922797,Anna Richardson,Anna,Richardson,254.5,True
Gary Harper,47.59652591777343,Gary Harper,Gary,Harper,47.6,
Linda Johnson,115.36278154605293,Linda Johnson,Linda,Johnson,115.36,True
Melissa Smith,87.97994845806541,Melissa Smith,Melissa,Smith,87.98,
Kristen Floyd,135.02304134412356,Kristen Floyd,Kristen,Floyd,135.02,True
William Diaz,192.14913546689587,William Diaz,William,Diaz,192.15,True
Benjamin Smith,134.90529389051355,Benjamin Smith,Benjamin,Smith,134.91,True
David Glenn,216.29104632060702,David Glenn,David,Glenn,216.29,True
Dawn Jones,271.6144998802729,Dawn Jones,Dawn,Jones,271.61,True
Joel Smith,14.494919799933415,Joel Smith,Joel,Smith,14.49,
Mr. Larry Grimes MD,268.6758682473656,Larry Grimes MD,Larry,Grimes,268.68,True
Joseph Arnold,121.7750468474434,Joseph Arnold,Joseph,Arnold,121.78,True
Kyle Long,241.6216391420153,Kyle Long,Kyle,Long,241.62,True
Brittany Day,261.54605742206627,Brittany Day,Brittany,Day,261.55,True
Bobby Ward,63.51303580081721,Bobby Ward,Bobby,Ward,63.51,
Thomas Lee,254.07557711297557,Thomas Lee,Thomas,Lee,254.08,True
Jennifer Hansen,101.48873523428664,Jennifer Hansen,Jennifer,Hansen,101.49,True
Lisa Murray,176.09191738609584,Lisa Murray,Lisa,Murray,176.09,True
Meghan Wade,273.23034094310503,Meghan Wade,Meghan,Wade,273.23,True
Tammie Brooks,84.88856949195045,Tammie Brooks,Tammie,Brooks,84.89,
Maria Bell,264.07466519472524,Maria Bell,Maria,Bell,264.07,True
Allison Livingston,130.34844264841078,Allison Livingston,Allison,Livingston,130.35,True
Chris Hays,17.342763790337447,Chris Hays,Chris,Hays,17.34,
Courtney Mitchell,78.93257699026059,Courtney Mitchell,Courtney,Mitchell,78.93,
Shawn White,188.02192560020146,Shawn White,Shawn,White,188.02,True
Taylor Gomez,225.01982371477402,Taylor Gomez,Taylor,Gomez,225.02,True
Jeremy Rodriguez,200.72482076620912,Jeremy Rodriguez,Jeremy,Rodriguez,200.72,True
April Garcia,66.24555967130416,April Garcia,April,Garcia,66.25,
Zachary Watts,15.497387859732205,Zachary Watts,Zachary,Watts,15.5,
Sarah Montoya,206.82125465342602,Sarah Montoya,Sarah,Montoya,206.82,True
Jennifer Barker,89.18615989096851,Jennifer Barker,Jennifer,Barker,89.19,
Sharon Garza,72.3577270367147,Sharon Garza,Sharon,Garza,72.36,
Tiffany Stevens,196.3793220138052,Tiffany Stevens,Tiffany,Stevens,196.38,True
Ruben Armstrong,93.69836737933716,Ruben Armstrong,Ruben,Armstrong,93.7,
Dr. Jeffrey Spencer,271.16228201716683,Jeffrey Spencer,Jeffrey,Spencer,271.16,True
Nicole Ramsey,247.85960710449834,Nicole Ramsey,Nicole,Ramsey,247.86,True
Anne Roy,277.93248205609933,Anne Roy,Anne,Roy,277.93,True
Lori Sanchez,285.6616404970253,Lori Sanchez,Lori,Sanchez,285.66,True
Allison Chavez,126.85021100807128,Allison Chavez,Allison,Chavez,126.85,True
Marcus Adams,36.470408936676726,Marcus Adams,Marcus,Adams,36.47,
Mary Smith,16.315071974183017,Mary Smith,Mary,Smith,16.32,
Joseph Reed,178.45767424473252,Joseph Reed,Joseph,Reed,178.46,True
Jason Armstrong,26.045257464740853,Jason Armstrong,Jason,Armstrong,26.05,
Jeff Armstrong,88.47561283959318,Jeff Armstrong,Jeff,Armstrong,88.48,
Sean Shields,247.83952552279044,Sean Shields,Sean,Shields,247.84,True
Jessica Allison,104.7423079789625,Jessica Allison,Jessica,Allison,104.74,True
Christian Grant,99.11707916707049,Christian Grant,Christian,Grant,99.12,
Edward Watson,180.35355894236386,Edward Watson,Edward,Watson,180.35,True
Derrick Cooke,142.09011596094248,Derrick Cooke,Derrick,Cooke,142.09,True
Arthur Hall MD,235.96697489958774,Arthur Hall MD,Arthur,Hall,235.97,True
Sean Patrick,139.45079943481065,Sean Patrick,Sean,Patrick,139.45,True
Heather Collins,127.39257340710478,Heather Collins,Heather,Collins,127.39,True
Megan Gomez,107.86244506859772,Megan Gomez,Megan,Gomez,107.86,True
William Hale,114.67092535958612,William Hale,William,Hale,114.67,True
Olivia Thompson,8.608441013604939,Olivia Thompson,Olivia,Thompson,8.61,
Lori Torres,18.858274333009923,Lori Torres,Lori,Torres,18.86,
Vickie Hernandez,214.93218067750684,Vickie Hernandez,Vickie,Hernandez,214.93,True
Kimberly Brown,40.31993270151361,Kimberly Brown,Kimberly,Brown,40.32,
Sherry Meza,182.8545498809053,Sherry Meza,Sherry,Meza,182.85,True
Phillip Hansen,44.116117044254466,Phillip Hansen,Phillip,Hansen,44.12,
Jeanette Knight,28.686943288269372,Jeanette Knight,Jeanette,Knight,28.69,
Kayla Hanson,27.63036397054156,Kayla Hanson,Kayla,Hanson,27.63,
James Johnston,284.42905543555884,James Johnston,James,Johnston,284.43,True
Dr. John Porter,53.72799273817649,John Porter,John,Porter,53.73,
Elizabeth Reyes,93.6807568419092,Elizabeth Reyes,Elizabeth,Reyes,93.68,
Kristen Henry,77.0062435699163,Kristen Henry,Kristen,Henry,77.01,
Claudia Anderson,160.34015926115842,Claudia Anderson,Claudia,Anderson,160.34,True
Nicholas Webb,18.71038619331413,Nicholas Webb,Nicholas,Webb,18.71,
Allison Cooper,206.04210681966842,Allison Cooper,Allison,Cooper,206.04,True
Zachary Barnes,280.7741314675942,Zachary Barnes,Zachary,Barnes,280.77,True
Gregory Hill III,265.97658083058303,Gregory Hill III,Gregory,Hill,265.98,True
Terry Ayers,16.511638988306093,Terry Ayers,Terry,Ayers,16.51,
Jessica Wilson,290.4095460874849,Jessica Wilson,Jessica,Wilson,290.41,True
Daniel Frazier,190.32919165960308,Daniel Frazier,Daniel,Frazier,190.33,True
Brian Welch,218.250508277542,Brian Welch,Brian,Welch,218.25,True
Carol Chavez,123.18344273633505,Carol Chavez,Carol,Chavez,123.18,True
Ethan Mcdonald,214.35031737281642,Ethan Mcdonald,Ethan,Mcdonald,214.35,True
Gerald Martinez,57.547863563924366,Gerald Martinez,Gerald,Martinez,57.55,
Eric King,59.879264225985686,Eric King,Eric,King,59.88,
Sylvia Walters,110.94631320914492,Sylvia Walters,Sylvia,Walters,110.95,True
Jonathan Lane,64.46710142329968,Jonathan Lane,Jonathan,Lane,64.47,
Matthew Turner,180.2628702175462,Matthew Turner,Matthew,Turner,180.26,True
Jeffrey Bauer,30.51584180732109,Jeffrey Bauer,Jeffrey,Bauer,30.52,
Jessica Shaffer,54.90193650996717,Jessica Shaffer,Jessica,Shaffer,54.9,
Chris Spencer,251.37528306509915,Chris Spencer,Chris,Spencer,251.38,True
Mary Clarke,236.0529878684694,Mary Clarke,Mary,Clarke,236.05,True
Timothy Mendoza,105.98348156256873,Timothy Mendoza,Timothy,Mendoza,105.98,True
Alicia Hoffman,182.3436990317387,Alicia Hoffman,Alicia,Hoffman,182.34,True
Joseph Gardner,144.809134447454,Joseph Gardner,Joseph,Gardner,144.81,True
Rachael Rangel,297.94964055273493,Rachael Rangel,Rachael,Rangel,297.95,True
Jeffrey Harrington,194.27163383508275,Jeffrey Harrington,Jeffrey,Harrington,194.27,True
Sophia Randolph,158.54312598904266,Sophia Randolph,Sophia,Randolph,158.54,True
Debbie Freeman,275.87191674948485,Debbie Freeman,Debbie,Freeman,275.87,True
Matthew Braun,201.77496567973785,Matthew Braun,Matthew,Braun,201.77,True
Sheri Hudson,268.3748401506698,Sheri Hudson,Sheri,Hudson,268.37,True
Mary King,204.07857538584167,Mary King,Mary,King,204.08,True
Beth Davis,155.06806482630742,Beth Davis,Beth,Davis,155.07,True
Margaret Castillo,193.90632444973315,Margaret Castillo,Margaret,Castillo,193.91,True
Tommy Sandoval,172.28304096219406,Tommy Sandoval,Tommy,Sandoval,172.28,True
Christopher Hines,46.554352989801856,Christopher Hines,Christopher,Hines,46.55,
Richard Wright,208.35969686386207,Richard Wright,Richard,Wright,208.36,True
Michael Brown,278.52308864414647,Michael Brown,Michael,Brown,278.52,True
Nathan Yu,134.18950975303386,Nathan Yu,Nathan,Yu,134.19,True
Cameron Ford,248.89213816817463,Cameron Ford,Cameron,Ford,248.89,True
Carla Hayes,265.3745758879461,Carla Hayes,Carla,Hayes,265.37,True
Marissa Matthews,136.09257765126094,Marissa Matthews,Marissa,Matthews,136.09,True
Dr. Samuel Thompson,237.1592416495993,Samuel Thompson,Samuel,Thompson,237.16,True
Gary Figueroa,168.94476842778406,Gary Figueroa,Gary,Figueroa,168.94,True
Michael West,146.88868490813215,Michael West,Michael,West,146.89,True
Martin Walton,140.34005756647483,Martin Walton,Martin,Walton,140.34,True
Zachary Lee,8.667301583326669,Zachary Lee,Zachary,Lee,8.67,
Christopher Stephenson,67.01185632582161,Christopher Stephenson,Christopher,Stephenson,67.01,
Eric Ortiz,117.72424575203449,Eric Ortiz,Eric,Ortiz,117.72,True
Kara Pittman,56.23964364259615,Kara Pittman,Kara,Pittman,56.24,
Andrew Cowan,295.93918116436095,Andrew Cowan,Andrew,Cowan,295.94,True
Rhonda Moss DDS,259.0397505024356,Rhonda Moss DDS,Rhonda,Moss,259.04,True
Sarah Williams,92.82627713649636,Sarah Williams,Sarah,Williams,92.83,
Carolyn Collins,236.24728881254813,Carolyn Collins,Carolyn,Collins,236.25,True
Larry Mooney,135.27017938989422,Larry Mooney,Larry,Mooney,135.27,True
Laura Livingston,294.25806990582436,Laura Livingston,Laura,Livingston,294.26,True
Candace Mckenzie,84.58145758338813,Candace Mckenzie,Candace,Mckenzie,84.58,
Candace Wallace,124.7464542613423,Candace Wallace,Candace,Wallace,124.75,True
Jason White,218.43180413366082,Jason White,Jason,White,218.43,True
Patricia Reynolds,89.01176825909228,Patricia Reynolds,Patricia,Reynolds,89.01,
Michael Ellison,244.47171060446053,Michael Ellison,Michael,Ellison,244.47,True
Melissa Robles,238.45609669548043,Melissa Robles,Melissa,Robles,238.46,True
Heidi Fry,109.62647170853651,Heidi Fry,Heidi,Fry,109.63,True
James Smith,163.95738564855034,James Smith,James,Smith,163.96,True
Charles Ruiz,48.45811846912089,Charles Ruiz,Charles,Ruiz,48.46,
Stephanie Green DDS,9.144974190597543,Stephanie Green DDS,Stephanie,Green,9.14,
Stacey Garcia,106.61920386744845,Stacey Garcia,Stacey,Garcia,106.62,True
Glenda Burke,206.36350632142344,Glenda Burke,Glenda,Burke,206.36,True
Zachary Alvarez,104.0523689923793,Zachary Alvarez,Zachary,Alvarez,104.05,True
Rachel Shaw,2.448211505515752,Rachel Shaw,Rachel,Shaw,2.45,
Carmen Beard,269.62368497596617,Carmen Beard,Carmen,Beard,269.62,True
Tony Daniels,186.9035774579524,Tony Daniels,Tony,Daniels,186.9,True
Randy Mora,70.74105982483371,Randy Mora,Randy,Mora,70.74,
George Aguirre,128.9497508227403,George Aguirre,George,Aguirre,128.95,True
James Miller,297.04056394395474,James Miller,James,Miller,297.04,True
Jacqueline Williams,17.306221558812595,Jacqueline Williams,Jacqueline,Williams,17.31,
April Taylor,121.28989032735632,April Taylor,April,Taylor,121.29,True
Robert Johnson,131.62377790455037,Robert Johnson,Robert,Johnson,131.62,True
Gary White,280.97065059718244,Gary White,Gary,White,280.97,True
Kim Lowe,192.7758756466007,Kim Lowe,Kim,Lowe,192.78,True
Samantha Jones,136.34155637165566,Samantha Jones,Samantha,Jones,136.34,True
Randy Lozano,16.301049650545718,Randy Lozano,Randy,Lozano,16.3,
Arthur Chavez,6.903795237740217,Arthur Chavez,Arthur,Chavez,6.9,
Melissa Miller,162.60669447005415,Melissa Miller,Melissa,Miller,162.61,True
Leslie Mccormick,282.50210661508714,Leslie Mccormick,Leslie,Mccormick,282.5,True
Carlos Rubio,63.2180240393211,Carlos Rubio,Carlos,Rubio,63.22,
David York,86.53219265932694,David York,David,York,86.53,
Gabriella Anthony,7.6386454053409825,Gabriella Anthony,Gabriella,Anthony,7.64,
Olivia Poole,117.85417195127266,Olivia Poole,Olivia,Poole,117.85,True
Wayne Wilson,74.67047227866091,Wayne Wilson,Wayne,Wilson,74.67,
Elizabeth Moore,267.3988136432793,Elizabeth Moore,Elizabeth,Moore,267.4,True
Janice Campbell,33.45339810287007,Janice Campbell,Janice,Campbell,33.45,
Julie Johnson,63.64156781774781,Julie Johnson,Julie,Johnson,63.64,
Misty Cantrell,189.03920909845044,Misty Cantrell,Misty,Cantrell,189.04,True
Robert Soto,109.01383568593417,Robert Soto,Robert,Soto,109.01,True
Brenda Cowan,60.84957659066811,Brenda Cowan,Brenda,Cowan,60.85,
Kelly Guerrero,259.5112156610179,Kelly Guerrero,Kelly,Guerrero,259.51,True
David Nichols,19.4852485825076,David Nichols,David,Nichols,19.49,
Kayla Taylor,186.23562833792442,Kayla Taylor,Kayla,Taylor,186.24,True
Antonio Garcia,125.47721261358778,Antonio Garcia,Antonio,Garcia,125.48,True
Tyler Cisneros,186.58982946523628,Tyler Cisneros,Tyler,Cisneros,186.59,True
Jillian Crawford,158.81727732036828,Jillian Crawford,Jillian,Crawford,158.82,True
Karl Pierce,132.7746811247699,Karl Pierce,Karl,Pierce,132.77,True
Joann Taylor,276.9621962173069,Joann Taylor,Joann,Taylor,276.96,True
Jennifer Jenkins,59.128582081586295,Jennifer Jenkins,Jennifer,Jenkins,59.13,
Nancy Brown,78.87073418065538,Nancy Brown,Nancy,Brown,78.87,
Emma Munoz,120.84287574591565,Emma Munoz,Emma,Munoz,120.84,True
Shawn Galloway,141.02986218926173,Shawn Galloway,Shawn,Galloway,141.03,True
Melissa Mcguire,213.08212039609552,Melissa Mcguire,Melissa,Mcguire,213.08,True
Bryan Chavez,125.39615596333384,Bryan Chavez,Bryan,Chavez,125.4,True
Fernando Salazar,256.1537305026925,Fernando Salazar,Fernando,Salazar,256.15,True
Megan Moore,251.34779847880935,Megan Moore,Megan,Moore,251.35,True
Robert Williams,175.20972501819077,Robert Williams,Robert,Williams,175.21,True
Dennis Sanford,29.450432640090238,Dennis Sanford,Dennis,Sanford,29.45,
Kimberly Herrera,154.8076505334469,Kimberly Herrera,Kimberly,Herrera,154.81,True
Gloria Potts,289.10493534380265,Gloria Potts,Gloria,Potts,289.1,True
Suzanne Barnett,8.470995351489764,Suzanne Barnett,Suzanne,Barnett,8.47,
Leah Myers,44.557973904375906,Leah Myers,Leah,Myers,44.56,
Kylie Thomas,13.453416021299347,Kylie Thomas,Kylie,Thomas,13.45,
Amanda Murphy,50.55321552469607,Amanda Murphy,Amanda,Murphy,50.55,
Christopher Matthews,282.3634970875721,Christopher Matthews,Christopher,Matthews,282.36,True
Nicole Parks,52.283997665936184,Nicole Parks,Nicole,Parks,52.28,
Bobby Martin,205.4899694679927,Bobby Martin,Bobby,Martin,205.49,True
Kevin Chambers,121.17110156585184,Kevin Chambers,Kevin,Chambers,121.17,True
Kimberly Lawson,250.28807417853676,Kimberly Lawson,Kimberly,Lawson,250.29,True
Rachel Lopez,101.88811233293558,Rachel Lopez,Rachel,Lopez,101.89,True
Christopher Clay,219.38450883405247,Christopher Clay,Christopher,Clay,219.38,True
Daniel Martin,0.30019335994085905,Daniel Martin,Daniel,Martin,0.3,
William Taylor,66.55747013586088,William Taylor,William,Taylor,66.56,
Steven Johnson,111.29328197700804,Steven Johnson,Steven,Johnson,111.29,True
Daniel Miller,80.5775678926165,Daniel Miller,Daniel,Miller,80.58,
Taylor Bryant,187.63154082557503,Taylor Bryant,Taylor,Bryant,187.63,True
Lauren Jones,194.79263119102959,Lauren Jones,Lauren,Jones,194.79,True
Lindsey Robertson,22.737646859159213,Lindsey Robertson,Lindsey,Robertson,22.74,
Allison Thomas,168.33349750521316,Allison Thomas,Allison,Thomas,168.33,True
Vernon Bishop,216.1870445736053,Vernon Bishop,Vernon,Bishop,216.19,True
Susan Parsons,132.91852598876127,Susan Parsons,Susan,Parsons,132.92,True
Brady Snyder,210.39608628043945,Brady Snyder,Brady,Snyder,210.4,True
Brent Mcgrath,174.69835667191742,Brent Mcgrath,Brent,Mcgrath,174.7,True
Peter Smith,278.6080180649334,Peter Smith,Peter,Smith,278.61,True
Deborah Fox,248.12282335223,Deborah Fox,Deborah,Fox,248.12,True
Heather Collins,147.42740743180875,Heather Collins,Heather,Collins,147.43,True
Phillip Meyers,102.79774717187095,Phillip Meyers,Phillip,Meyers,102.8,True
Nicholas Hubbard,275.40083640481305,Nicholas Hubbard,Nicholas,Hubbard,275.4,True
Misty Ramirez,62.31681444320775,Misty Ramirez,Misty,Ramirez,62.32,
Scott Johnson,85.87388958460392,Scott Johnson,Scott,Johnson,85.87,
Jay Nixon,253.4674787231029,Jay Nixon,Jay,Nixon,253.47,True
Tony Hall,61.197165218284425,Tony Hall,Tony,Hall,61.2,
Taylor Smith,41.49264584158212,Taylor Smith,Taylor,Smith,41.49,
Mark Reynolds,70.49794435636787,Mark Reynolds,Mark,Reynolds,70.5,
Marilyn Christensen,155.48545325374747,Marilyn Christensen,Marilyn,Christensen,155.49,True
Denise Atkins,185.45160104146026,Denise Atkins,Denise,Atkins,185.45,True
Melissa Gonzales,228.0025996700991,Melissa Gonzales,Melissa,Gonzales,228.0,True
Henry Hoffman,229.66288757903408,Henry Hoffman,Henry,Hoffman,229.66,True
Daisy Davenport,59.527535181546405,Daisy Davenport,Daisy,Davenport,59.53,
Christopher Paul,122.71316985988042,Christopher Paul,Christopher,Paul,122.71,True
Kevin Craig,148.20105162583087,Kevin Craig,Kevin,Craig,148.2,True
Natalie Coleman,122.14404521392821,Natalie Coleman,Natalie,Coleman,122.14,True
Jeremy Strickland,130.84356621069006,Jeremy Strickland,Jeremy,Strickland,130.84,True
Gary Bonilla,162.61525338967425,Gary Bonilla,Gary,Bonilla,162.62,True
Amanda Richards,236.59571642368752,Amanda Richards,Amanda,Richards,236.6,True
Heidi Perez,245.1757227990263,Heidi Perez,Heidi,Perez,245.18,True
Robert Johnson,174.69223455356223,Robert Johnson,Robert,Johnson,174.69,True
Gary Mills,183.83632122355647,Gary Mills,Gary,Mills,183.84,True
Chelsea Caldwell,16.12083718443007,Chelsea Caldwell,Chelsea,Caldwell,16.12,
John Frye,223.2774175401916,John Frye,John,Frye,223.28,True
Michael Strong,220.4122321530476,Michael Strong,Michael,Strong,220.41,True
Christopher Delgado,85.7827975219131,Christopher Delgado,Christopher,Delgado,85.78,
Whitney Wallace,253.45561825480598,Whitney Wallace,Whitney,Wallace,253.46,True
Rebecca Martinez,59.68320226018208,Rebecca Martinez,Rebecca,Martinez,59.68,
Marissa Mccoy,116.96346526147707,Marissa Mccoy,Marissa,Mccoy,116.96,True
Ricky Kerr,38.99584409323927,Ricky Kerr,Ricky,Kerr,39.0,
Anna Campbell,249.9213404326384,Anna Campbell,Anna,Campbell,249.92,True
Marie Walters,73.38808728545419,Marie Walters,Marie,Walters,73.39,
Robert Martin,38.22288302142398,Robert Martin,Robert,Martin,38.22,
Marc Davis,162.28026194930808,Marc Davis,Marc,Davis,162.28,True
James Dixon,159.37943283852357,James Dixon,James,Dixon,159.38,True
Vicki Ramirez,186.16024273670712,Vicki Ramirez,Vicki,Ramirez,186.16,True
Krista Campbell,161.2338436440011,Krista Campbell,Krista,Campbell,161.23,True
Lauren Patterson,170.2123273334216,Lauren Patterson,Lauren,Patterson,170.21,True
Megan Clark,290.2581555729941,Megan Clark,Megan,Clark,290.26,True
Judy Zimmerman,219.58882554041398,Judy Zimmerman,Judy,Zimmerman,219.59,True
Joseph Williams MD,210.78418587544644,Joseph Williams MD,Joseph,Williams,210.78,True
Lori Acevedo,210.66028991914436,Lori Acevedo,Lori,Acevedo,210.66,True
William Taylor,275.6331762919653,William Taylor,William,Taylor,275.63,True
Dawn Snyder,248.98404166326145,Dawn Snyder,Dawn,Snyder,248.98,True
Jennifer Simmons,80.68353707250292,Jennifer Simmons,Jennifer,Simmons,80.68,
Alyssa Nunez,163.80090017535008,Alyssa Nunez,Alyssa,Nunez,163.8,True
Robert Black,63.928004824648646,Robert Black,Robert,Black,63.93,
Julia Young,239.23966830924962,Julia Young,Julia,Young,239.24,True
Melinda Barnes,227.25063517083808,Melinda Barnes,Melinda,Barnes,227.25,True
Mr. Brett Armstrong,154.13418355563863,Brett Armstrong,Brett,Armstrong,154.13,True
Erik Stevenson,246.0040721964782,Erik Stevenson,Erik,Stevenson,246.0,True
Daniel George,34.80089307788611,Daniel George,Daniel,George,34.8,
Lindsey Jones,197.70203950528594,Lindsey Jones,Lindsey,Jones,197.7,True
Virginia Lopez,227.42559145706585,Virginia Lopez,Virginia,Lopez,227.43,True
Andrew Brown,92.88318048748691,Andrew Brown,Andrew,Brown,92.88,
Donna Lowery,264.83260935725133,Donna Lowery,Donna,Lowery,264.83,True
Alexis Andrade,6.313985182948612,Alexis Andrade,Alexis,Andrade,6.31,
Alyssa Pierce,47.74032516054749,Alyssa Pierce,Alyssa,Pierce,47.74,
Tara Johnson,38.26768696182315,Tara Johnson,Tara,Johnson,38.27,
Michael Brady,162.05943217458181,Michael Brady,Michael,Brady,162.06,True
James Rhodes,51.92414008935029,James Rhodes,James,Rhodes,51.92,
Pamela Scott,42.433333922056505,Pamela Scott,Pamela,Scott,42.43,
Martin Ward,170.94982482253798,Martin Ward,Martin,Ward,170.95,True
Kristina Hernandez,107.69157184330523,Kristina Hernandez,Kristina,Hernandez,107.69,True
Robert Bush,87.1800419106335,Robert Bush,Robert,Bush,87.18,
Rebecca Larson,214.3895724880069,Rebecca Larson,Rebecca,Larson,214.39,True
Brittany Watson,190.5200180237414,Brittany Watson,Brittany,Watson,190.52,True
Ryan Ramirez,249.7287912514065,Ryan Ramirez,Ryan,Ramirez,249.73,True
Edward Burns,87.64996993182648,Edward Burns,Edward,Burns,87.65,
John Prince,31.738420344070374,John Prince,John,Prince,31.74,
Ashley Boyer,107.66259919776722,Ashley Boyer,Ashley,Boyer,107.66,True
James Dean,61.695454203113286,James Dean,James,Dean,61.7,
Natalie Gordon,268.2800093904237,Natalie Gordon,Natalie,Gordon,268.28,True
Ryan Smith,136.20781301562315,Ryan Smith,Ryan,Smith,136.21,True
Stephen Thompson,54.296397135686725,Stephen Thompson,Stephen,Thompson,54.3,
William Delgado,96.25442517413536,William Delgado,William,Delgado,96.25,
Brian Johnson,124.92920800129251,Brian Johnson,Brian,Johnson,124.93,True
James Patel,216.60564294988416,James Patel,James,Patel,216.61,True
Allen Rogers,145.43424673621442,Allen Rogers,Allen,Rogers,145.43,True
Aimee Reyes,277.6656815323848,Aimee Reyes,Aimee,Reyes,277.67,True
Susan Williams,255.2153532198499,Susan Williams,Susan,Williams,255.22,True
Edward Griffin,108.6205221556892,Edward Griffin,Edward,Griffin,108.62,True
Debra Baker,296.5003089408694,Debra Baker,Debra,Baker,296.5,True
Yvette Kramer,279.93711740258726,Yvette Kramer,Yvette,Kramer,279.94,True
Alyssa Williams DVM,270.89722410924776,Alyssa Williams DVM,Alyssa,Williams,270.9,True
John Cunningham,173.02428331069592,John Cunningham,John,Cunningham,173.02,True
Dana Gilbert,86.51917139139056,Dana Gilbert,Dana,Gilbert,86.52,
Stephen Henry,146.15155779396392,Stephen Henry,Stephen,Henry,146.15,True
Bradley James,137.9824935007853,Bradley James,Bradley,James,137.98,True
Melinda Peters,16.830030435585858,Melinda Peters,Melinda,Peters,16.83,
Robert Goodman,213.542398367175,Robert Goodman,Robert,Goodman,213.54,True
Leslie Moore,195.96307990880481,Leslie Moore,Leslie,Moore,195.96,True
Sarah Gray,270.794728795214,Sarah Gray,Sarah,Gray,270.79,True
Amy Haynes,258.5062772657286,Amy Haynes,Amy,Haynes,258.51,True
Gary Dean,184.42515197173316,Gary Dean,Gary,Dean,184.43,True
Jonathan Duran,224.53614166006957,Jonathan Duran,Jonathan,Duran,224.54,True
Elizabeth Ruiz,124.66944953610624,Elizabeth Ruiz,Elizabeth,Ruiz,124.67,True
Caitlin Lewis,196.35989586878728,Caitlin Lewis,Caitlin,Lewis,196.36,True
Micheal Blackburn,10.44317525383308,Micheal Blackburn,Micheal,Blackburn,10.44,
Sheryl Mccarthy,159.95197311799956,Sheryl Mccarthy,Sheryl,Mccarthy,159.95,True
Lisa Smith,150.91226788427025,Lisa Smith,Lisa,Smith,150.91,True
